SUB_CLASS,CATEGORY,MAIN_CLASS,KMD,ROW_COUNT,GENERAL_ABBREVIATION,ASSOCIATED_LIPID_MAPS_EXAMPLES
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.8049,1,FA X:6;O3,['FA 20:6;O3']
Resolvin Ds [FA0403],Fatty Acyls [FA],Docosanoids [FA04],0.8049,8,FA X:6;O3,"['FA 22:6;O3', 'FA 22:6;O3', 'FA 22:6;O3', 'FA 22:6;O3', 'FA 22:6;O3', 'FA 22:6;O3', 'FA 22:6;O3', 'FA 22:6;O3']"
"Docosa-1,2-dioxolanes [FA0406]",Fatty Acyls [FA],Docosanoids [FA04],0.7819,1,FA X:6;O4,['FA 22:6;O4']
Other Eicosanoids [FA0300],Fatty Acyls [FA],Eicosanoids [FA03],0.7819,2,FA X:6;O4,"['FA 26:6;O4', 'FA 26:6;O4']"
Other Octadecanoids [FA0200],Fatty Acyls [FA],Octadecanoids [FA02],0.759,1,FA X:6;O5,['FA 27:6;O5']
"Docosa-1,2-dioxolanes [FA0406]",Fatty Acyls [FA],Docosanoids [FA04],0.736,1,FA X:6;O6,['FA 22:6;O6']
Other Octadecanoids [FA0200],Fatty Acyls [FA],Octadecanoids [FA02],0.736,1,FA X:6;O6,['FA 28:6;O6']
Prostaglandins [FA0301],Fatty Acyls [FA],Eicosanoids [FA03],0.7131,2,FA X:6;O7,"['FA 27:6;O7', 'FA 27:6;O7']"
Maresins [FA0405],Fatty Acyls [FA],Docosanoids [FA04],0.8374,1,FA X:7;O,['FA 22:7;O']
Neuroprostanes [FA0401],Fatty Acyls [FA],Docosanoids [FA04],0.8144,128,FA X:7;O2,"['FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2', 'FA 22:7;O2']"
Epoxy fatty acids [FA0107],Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],0.7915,1,FA X:7;O3,['FA 13:7;O3']
Prostaglandins [FA0301],Fatty Acyls [FA],Eicosanoids [FA03],0.6768,1,FA X:7;O8,['FA 29:7;O8']
Heterocyclic fatty acids [FA0115],Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],0.801,1,FA X:8;O2,['FA 14:8;O2']
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.7322,6,FA X:8;O5,"['FA 25:8;O5', 'FA 25:8;O5', 'FA 25:8;O5', 'FA 25:8;O5', 'FA 25:8;O5', 'FA 25:8;O5']"
Withanolides and derivatives [ST0116],Sterol Lipids [ST],Sterols [ST01],0.7322,2,FA X:8;O5,"['FA 28:8;O5', 'ST 28:5;O7']"
Clavulones [FA0312],Fatty Acyls [FA],Eicosanoids [FA03],0.6729,3,FA X:9;O7,"['FA 27:9;O7', 'FA 27:9;O7', 'FA 27:9;O7']"
Fatty acid estolides [FA0709],Fatty Acyls [FA],Fatty esters [FA07],0.8948,82,FAHFA X:0;O,"['FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 36:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 34:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 33:0;O', 'FAHFA 35:0;O', 'FAHFA 35:0;O', 'FAHFA 35:0;O', 'FAHFA 35:0;O', 'FAHFA 35:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 32:0;O', 'FAHFA 30:0;O', 'FAHFA 22:0;O', 'FAHFA 24:0;O', 'FAHFA 24:0;O', 'FAHFA 25:0;O', 'FAHFA 26:0;O', 'FAHFA 27:0;O', 'FAHFA 25:0;O', 'FAHFA 26:0;O', 'FAHFA 20:0;O', 'FAHFA 20:0;O', 'FAHFA 20:0;O', 'FAHFA 22:0;O', 'FAHFA 24:0;O', 'FAHFA 22:0;O', 'FAHFA 24:0;O', 'FAHFA 24:0;O', 'FAHFA 22:0;O', 'FAHFA 22:0;O', 'FAHFA 36:0;O']"
Fatty acid estolides [FA0709],Fatty Acyls [FA],Fatty esters [FA07],0.8719,7,FAHFA X:0;O2,"['FAHFA 19:0;O2', 'FAHFA 19:0;O2', 'FAHFA 20:0;O2', 'FAHFA 18:0;O2', 'FAHFA 20:0;O2', 'FAHFA 18:0;O2', 'FAHFA 20:0;O2']"
Wax monoesters [FA0701],Fatty Acyls [FA],Fatty esters [FA07],0.8585,1,FAHFA X:2;O2,['FAHFA 17:2;O2']
Fatty acid estolides [FA0709],Fatty Acyls [FA],Fatty esters [FA07],0.7685,2,FAHFA X:6;O3,"['FAHFA 24:6;O3', 'FAHFA 25:6;O3']"
Fatty alcohols [FA05],Fatty Acyls [FA],Fatty alcohols [FA05],0.990454242222086,,FOH X:0,
Jasmonic acids [FA0202],Fatty Acyls [FA],Octadecanoids [FA02],0.9139,1,FOH X:4;O,['FOH 11:4;O']
Diacylglycosylglycerophospholipids [GP1401],Glycerophospholipids [GP],Glycosylglycerophospholipids [GP14],0.6208,2,Glc-GP X:0,"['Glc-GP 38:0', 'Glc-GP 36:0']"
Monoacylglycosylglycerophospholipids [GP1404],Glycerophospholipids [GP],Glycosylglycerophospholipids [GP14],0.6571,1,Glc-GP X:0,['Glc-GP 18:0']
Glycosyldiacylglycerols [GL0501],Glycerolipids [GL],Glycosyldiradylglycerols [GL05],0.7074,2,GlcADG X:0,"['GlcADG 35:0', 'GlcADG 32:0']"
GlcNAcbeta1-3Manbeta1-4Glc- (Arthro series) [SP0508],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.5083,6,Hex-HexNAc-Cer X:1;O2,"['Hex-HexNAc-Cer 34:1;O2', 'Hex-HexNAc-Cer 36:1;O2', 'Hex-HexNAc-Cer 38:1;O2', 'Hex-HexNAc-Cer 40:1;O2', 'Hex-HexNAc-Cer 42:1;O2', 'Hex-HexNAc-Cer 44:1;O2']"
Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glc- (Neolacto series) [SP0505],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.8937,6,Hex(10)-HexNAc(5)-Cer X:1;O2,"['Hex(10)-HexNAc(5)-Cer 34:1;O2', 'Hex(10)-HexNAc(5)-Cer 36:1;O2', 'Hex(10)-HexNAc(5)-Cer 38:1;O2', 'Hex(10)-HexNAc(5)-Cer 40:1;O2', 'Hex(10)-HexNAc(5)-Cer 42:1;O2', 'Hex(10)-HexNAc(5)-Cer 44:1;O2']"
GalNAcbeta1-4Galbeta1-4Glc- (Ganglio series) [SP0503],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.5083,6,Hex(2)-HexNAc-Cer X:1;O2,"['Hex(2)-HexNAc-Cer 34:1;O2', 'Hex(2)-HexNAc-Cer 36:1;O2', 'Hex(2)-HexNAc-Cer 38:1;O2', 'Hex(2)-HexNAc-Cer 40:1;O2', 'Hex(2)-HexNAc-Cer 42:1;O2', 'Hex(2)-HexNAc-Cer 44:1;O2']"
Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glc- (Lacto series) [SP0504],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.5083,6,Hex(2)-HexNAc-Cer X:1;O2,"['Hex(2)-HexNAc-Cer 34:1;O2', 'Hex(2)-HexNAc-Cer 36:1;O2', 'Hex(2)-HexNAc-Cer 38:1;O2', 'Hex(2)-HexNAc-Cer 40:1;O2', 'Hex(2)-HexNAc-Cer 42:1;O2', 'Hex(2)-HexNAc-Cer 44:1;O2']"
Gangliosides [SP0601],Sphingolipids [SP],Acidic glycosphingolipids [SP06],0.9438,6,Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer X:1;O2,"['Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer 34:1;O2', 'Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer 36:1;O2', 'Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer 38:1;O2', 'Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer 40:1;O2', 'Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer 42:1;O2', 'Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer 44:1;O2']"
Gangliosides [SP0601],Sphingolipids [SP],Acidic glycosphingolipids [SP06],0.2557,6,Hex(2)-HexNAc-NeuGc-Cer X:1;O2,"['Hex(2)-HexNAc-NeuGc-Cer 34:1;O2', 'Hex(2)-HexNAc-NeuGc-Cer 36:1;O2', 'Hex(2)-HexNAc-NeuGc-Cer 38:1;O2', 'Hex(2)-HexNAc-NeuGc-Cer 40:1;O2', 'Hex(2)-HexNAc-NeuGc-Cer 42:1;O2', 'Hex(2)-HexNAc-NeuGc-Cer 44:1;O2']"
Gangliosides [SP0601],Sphingolipids [SP],Acidic glycosphingolipids [SP06],0.4453,6,Hex(2)-KDN-Cer X:1;O2,"['Hex(2)-KDN-Cer 34:1;O2', 'Hex(2)-KDN-Cer 36:1;O2', 'Hex(2)-KDN-Cer 38:1;O2', 'Hex(2)-KDN-Cer 40:1;O2', 'Hex(2)-KDN-Cer 42:1;O2', 'Hex(2)-KDN-Cer 44:1;O2']"
Manalpha1-3Manbeta1-4Glc- (Mollu series) [SP0507],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.5275,6,Hex(3)-Cer X:1;O2,"['Hex(3)-Cer 34:1;O2', 'Hex(3)-Cer 36:1;O2', 'Hex(3)-Cer 38:1;O2', 'Hex(3)-Cer 40:1;O2', 'Hex(3)-Cer 42:1;O2', 'Hex(3)-Cer 44:1;O2']"
Galalpha1-3Galbeta1-4Glc- (Isoglobo series) [SP0506],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.4223,12,Hex(3)-Fuc-Cer X:1;O2,"['Hex(3)-Fuc-Cer 34:1;O2', 'Hex(3)-Fuc-Cer 36:1;O2', 'Hex(3)-Fuc-Cer 38:1;O2', 'Hex(3)-Fuc-Cer 40:1;O2', 'Hex(3)-Fuc-Cer 42:1;O2', 'Hex(3)-Fuc-Cer 44:1;O2']"
Galalpha1-3Galbeta1-4Glc- (Isoglobo series) [SP0506],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.409,4,Hex(3)-Fuc-Cer X:2;O2,"['Hex(3)-Fuc-Cer 42:2;O2', 'Hex(3)-Fuc-Cer 44:2;O2']"
GalNAcbeta1-4Galbeta1-4Glc- (Ganglio series) [SP0503],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.3801,6,Hex(3)-HexNAc-Cer X:1;O2,"['Hex(3)-HexNAc-Cer 34:1;O2', 'Hex(3)-HexNAc-Cer 36:1;O2', 'Hex(3)-HexNAc-Cer 38:1;O2', 'Hex(3)-HexNAc-Cer 40:1;O2', 'Hex(3)-HexNAc-Cer 42:1;O2', 'Hex(3)-HexNAc-Cer 44:1;O2']"
Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glc- (Lacto series) [SP0504],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.3801,6,Hex(3)-HexNAc-Cer X:1;O2,"['Hex(3)-HexNAc-Cer 34:1;O2', 'Hex(3)-HexNAc-Cer 36:1;O2', 'Hex(3)-HexNAc-Cer 38:1;O2', 'Hex(3)-HexNAc-Cer 40:1;O2', 'Hex(3)-HexNAc-Cer 42:1;O2', 'Hex(3)-HexNAc-Cer 44:1;O2']"
Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glc- (Neolacto series) [SP0505],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.3801,6,Hex(3)-HexNAc-Cer X:1;O2,"['Hex(3)-HexNAc-Cer 34:1;O2', 'Hex(3)-HexNAc-Cer 36:1;O2', 'Hex(3)-HexNAc-Cer 38:1;O2', 'Hex(3)-HexNAc-Cer 40:1;O2', 'Hex(3)-HexNAc-Cer 42:1;O2', 'Hex(3)-HexNAc-Cer 44:1;O2']"
GalNAcbeta1-4Galbeta1-4Glc- (Ganglio series) [SP0503],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.275,6,Hex(3)-HexNAc-Fuc-Cer X:1;O2,"['Hex(3)-HexNAc-Fuc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 44:1;O2']"
Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glc- (Lacto series) [SP0504],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.275,12,Hex(3)-HexNAc-Fuc-Cer X:1;O2,"['Hex(3)-HexNAc-Fuc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 44:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 44:1;O2']"
Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glc- (Neolacto series) [SP0505],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.275,12,Hex(3)-HexNAc-Fuc-Cer X:1;O2,"['Hex(3)-HexNAc-Fuc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 44:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-Cer 44:1;O2']"
Gangliosides [SP0601],Sphingolipids [SP],Acidic glycosphingolipids [SP06],0.0646,6,Hex(3)-HexNAc-Fuc-KDN-Cer X:1;O2,"['Hex(3)-HexNAc-Fuc-KDN-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-KDN-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-KDN-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-KDN-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-KDN-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-KDN-Cer 44:1;O2']"
Gangliosides [SP0601],Sphingolipids [SP],Acidic glycosphingolipids [SP06],0.0453,30,Hex(3)-HexNAc-Fuc-NeuAc-Cer X:1;O2,"['Hex(3)-HexNAc-Fuc-NeuAc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 44:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 44:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 44:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 44:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc-Cer 44:1;O2']"
Gangliosides [SP0601],Sphingolipids [SP],Acidic glycosphingolipids [SP06],0.8157,12,Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer X:1;O2,"['Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 44:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc-NeuAc(2)-Cer 44:1;O2']"
Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glc- (Lacto series) [SP0504],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.1698,6,Hex(3)-HexNAc-Fuc(2)-Cer X:1;O2,"['Hex(3)-HexNAc-Fuc(2)-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 44:1;O2']"
Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glc- (Neolacto series) [SP0505],Sphingolipids [SP],Neutral glycosphingolipids [SP05],0.1698,6,Hex(3)-HexNAc-Fuc(2)-Cer X:1;O2,"['Hex(3)-HexNAc-Fuc(2)-Cer 34:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 36:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 38:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 40:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 42:1;O2', 'Hex(3)-HexNAc-Fuc(2)-Cer 44:1;O2']"
Gangliosides [SP0601],Sphingolipids [SP],Acidic glycosphingolipids [SP06],0.1698,36,Hex(3)-HexNAc-KDN-Cer X:1;O2,"['Hex(3)-HexNAc-KDN-Cer 34:1;O2', 'Hex(3)-HexNAc-KDN-Cer 36:1;O2', 'Hex(3)-HexNAc-KDN-Cer 38:1;O2', 'Hex(3)-HexNAc-KDN-Cer 40:1;O2', 'Hex(3)-HexNAc-KDN-Cer 42:1;O2', 'Hex(3)-HexNAc-KDN-Cer 44:1;O2', 'Hex(3)-HexNAc-KDN-Cer 34:1;O2', 'Hex(3)-HexNAc-KDN-Cer 36:1;O2', 'Hex(3)-HexNAc-KDN-Cer 38:1;O2', 'Hex(3)-HexNAc-KDN-Cer 40:1;O2', 'Hex(3)-HexNAc-KDN-Cer 42:1;O2', 'Hex(3)-HexNAc-KDN-Cer 44:1;O2', 'Hex(3)-HexNAc-KDN-Cer 34:1;O2', 'Hex(3)-HexNAc-KDN-Cer 36:1;O2', 'Hex(3)-HexNAc-KDN-Cer 38:1;O2', 'Hex(3)-HexNAc-KDN-Cer 40:1;O2', 'Hex(3)-HexNAc-KDN-Cer 42:1;O2', 'Hex(3)-HexNAc-KDN-Cer 44:1;O2', 'Hex(3)-HexNAc-KDN-Cer 34:1;O2', 'Hex(3)-HexNAc-KDN-Cer 36:1;O2', 'Hex(3)-HexNAc-KDN-Cer 38:1;O2', 'Hex(3)-HexNAc-KDN-Cer 40:1;O2', 'Hex(3)-HexNAc-KDN-Cer 42:1;O2', 'Hex(3)-HexNAc-KDN-Cer 44:1;O2', 'Hex(3)-HexNAc-KDN-Cer 34:1;O2', 'Hex(3)-HexNAc-KDN-Cer 36:1;O2', 'Hex(3)-HexNAc-KDN-Cer 38:1;O2', 'Hex(3)-HexNAc-KDN-Cer 40:1;O2', 'Hex(3)-HexNAc-KDN-Cer 42:1;O2', 'Hex(3)-HexNAc-KDN-Cer 44:1;O2', 'Hex(3)-HexNAc-KDN-Cer 34:1;O2', 'Hex(3)-HexNAc-KDN-Cer 36:1;O2', 'Hex(3)-HexNAc-KDN-Cer 38:1;O2', 'Hex(3)-HexNAc-KDN-Cer 40:1;O2', 'Hex(3)-HexNAc-KDN-Cer 42:1;O2', 'Hex(3)-HexNAc-KDN-Cer 44:1;O2']"
Gangliosides [SP0601],Sphingolipids [SP],Acidic glycosphingolipids [SP06],0.9594,12,Hex(3)-HexNAc-KDN(2)-Cer X:1;O2,"['Hex(3)-HexNAc-KDN(2)-Cer 34:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 36:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 38:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 40:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 42:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 44:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 34:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 36:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 38:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 40:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 42:1;O2', 'Hex(3)-HexNAc-KDN(2)-Cer 44:1;O2']"
